date,inflation_factor,growth_factor,monetary_policy_factor,market_volatility_factor
1989-01-01,0.5131597768559759,1.016394950898869,8.23,22.29
1989-02-01,0.3326514275549197,0.9319631864092385,8.23,22.29
1989-03-01,0.3723272224389173,0.8475314219196081,8.23,22.29
1989-04-01,0.6659365505546466,0.7630996574299775,8.23,22.29
1989-05-01,0.3649827159627472,0.7556449799774138,8.23,22.29
1989-06-01,0.2185429305732844,0.7481903025248501,8.23,22.29
1989-07-01,0.2390007327029764,0.7407356250722863,8.23,22.29
1989-08-01,0.0121825997667857,0.5594841018417007,8.23,22.29
1989-09-01,0.2227404030209268,0.37823257861111514,8.23,22.29
1989-10-01,0.3906656943431619,0.1969810553805295,8.23,22.29
1989-11-01,0.2179214445078514,0.49561471846163807,8.23,22.29
1989-12-01,0.2899301061351167,0.7942483815427466,8.23,22.29
1990-01-01,0.7571455612341405,1.0928820446238552,8.23,22.29
1990-02-01,0.4406264410021787,0.8495780398208419,8.24,22.29
1990-03-01,0.3774804033259027,0.6062740350178286,8.28,22.29
1990-04-01,0.2100520048108567,0.3629700302148153,8.26,22.29
1990-05-01,0.224825464442091,0.2641739132525448,8.18,22.29
1990-06-01,0.4418957665710987,0.1653777962902743,8.29,22.29
1990-07-01,0.2468430951101607,0.0665816793280038,8.15,22.29
1990-08-01,0.6650027638653855,-0.25908039943732813,8.13,22.29
1990-09-01,0.614017571884995,-0.58474247820266,8.2,22.29
1990-10-01,0.5722318696766759,-0.910404556967992,8.11,22.29
1990-11-01,0.126621828287643,-0.7629165863478653,7.81,22.29
1990-12-01,0.09361450532126,-0.6154286157277385,7.31,22.29
1991-01-01,0.380671096890639,-0.4679406451076118,6.91,26.62
1991-02-01,0.0506726384098543,-0.052064077784737706,6.25,21.04
1991-03-01,0.0212390537184692,0.3638124895381364,6.12,20.86
1991-04-01,0.1813103346890887,0.7796890568610104,5.91,17.42
1991-05-01,0.4141394378138541,0.6882456000793699,5.78,17.77
1991-06-01,0.1688695482739532,0.5968021432977292,5.9,16.87
1991-07-01,0.1572378019127907,0.5053586865160886,5.82,18.64
1991-08-01,0.2330587340378942,0.45308740588358987,5.66,15.47
