year_month,Economic Growth & Output
2020-01,0.6349206349206349
2020-02,0.6774193548387096
2020-03,0.631578947368421
2020-04,0.5147058823529411
2020-05,0.660377358490566
2020-06,0.671875
2020-07,0.7924528301886793
2020-08,0.5573770491803278
2020-09,0.6306306306306306
2020-10,0.8354430379746836
2020-11,0.7325581395348837
2020-12,0.8823529411764706
2021-01,0.6363636363636364
2021-02,0.6944444444444444
2021-03,0.6540880503144654
2021-04,0.7466666666666667
2021-05,0.5605095541401274
2021-06,0.34563758389261745
2021-07,0.4608695652173913
2021-08,0.43333333333333335
2021-09,0.32941176470588235
2021-10,0.28448275862068967
2021-11,0.255663430420712
2021-12,0.2205128205128205
2022-01,0.22818791946308725
2022-02,0.26605504587155965
2022-03,0.449438202247191
2022-04,0.375
2022-05,0.4703703703703704
2022-06,0.5328467153284672
2022-07,0.5932835820895522
2022-08,0.4294294294294294
2022-09,0.35384615384615387
2022-10,0.3974358974358974
2022-11,0.2596491228070175
2022-12,0.4186046511627907
2023-01,0.46545454545454545
2023-02,0.36923076923076925
2023-03,0.22565320665083136
2023-04,0.4375
2023-05,0.31871345029239767
2023-06,0.30116959064327486
2023-07,0.32608695652173914
2023-08,0.46308724832214765
2023-09,0.437984496124031
2023-10,0.4577922077922078
2023-11,0.3483483483483483
2023-12,0.2983050847457627
2024-01,0.4568345323741007
2024-02,0.35447761194029853
2024-03,0.3246268656716418
2024-04,0.2949061662198391
2024-05,0.23695652173913043
2024-06,0.2966507177033493
2024-07,0.3009950248756219
2024-08,0.4670781893004115
2024-09,0.2808349146110057
2024-10,0.31117021276595747
2024-11,0.2919254658385093
2024-12,0.22560975609756098
2025-01,0.32947976878612717
2025-02,0.26785714285714285
2025-03,0.49032258064516127
2025-04,0.5186246418338109
2025-05,0.32270916334661354
2025-06,0.2684563758389262
2025-07,0.20588235294117646
2025-08,0.14682539682539683
2025-09,0.21308016877637131
2025-10,0.2537764350453172
2025-11,0.27906976744186046
