year_month,Commodities & Energy
2020-01,0.031746031746031744
2020-02,0.03225806451612903
2020-03,0.06698564593301436
2020-04,0.058823529411764705
2020-05,0.018867924528301886
2020-06,0.078125
2020-07,0.03773584905660377
2020-08,0.04918032786885246
2020-09,0.05405405405405406
2020-10,0.02531645569620253
2020-11,0.046511627906976744
2020-12,0.014705882352941176
2021-01,0.09090909090909091
2021-02,0.09259259259259259
2021-03,0.03773584905660377
2021-04,0.13333333333333333
2021-05,0.1337579617834395
2021-06,0.12080536912751678
2021-07,0.1391304347826087
2021-08,0.1375
2021-09,0.18823529411764706
2021-10,0.1724137931034483
2021-11,0.19741100323624594
2021-12,0.13846153846153847
2022-01,0.11073825503355705
2022-02,0.09174311926605505
2022-03,0.16853932584269662
2022-04,0.09134615384615384
2022-05,0.14444444444444443
2022-06,0.18248175182481752
2022-07,0.2574626865671642
2022-08,0.2222222222222222
2022-09,0.18153846153846154
2022-10,0.1282051282051282
2022-11,0.12631578947368421
2022-12,0.15891472868217055
2023-01,0.16363636363636364
2023-02,0.10153846153846154
2023-03,0.07600950118764846
2023-04,0.14802631578947367
2023-05,0.14035087719298245
2023-06,0.17251461988304093
2023-07,0.14130434782608695
2023-08,0.1610738255033557
2023-09,0.18992248062015504
2023-10,0.14285714285714285
2023-11,0.1111111111111111
2023-12,0.14915254237288136
2024-01,0.14388489208633093
2024-02,0.1044776119402985
2024-03,0.13805970149253732
2024-04,0.14745308310991956
2024-05,0.12608695652173912
2024-06,0.16507177033492823
2024-07,0.17164179104477612
2024-08,0.12551440329218108
2024-09,0.16888045540796964
2024-10,0.14627659574468085
2024-11,0.046583850931677016
2024-12,0.07317073170731707
2025-01,0.04335260115606936
2025-02,0.06428571428571428
2025-03,0.06451612903225806
2025-04,0.0659025787965616
2025-05,0.043824701195219126
2025-06,0.11073825503355705
2025-07,0.0213903743315508
2025-08,0.047619047619047616
2025-09,0.08860759493670886
2025-10,0.1540785498489426
2025-11,0.023255813953488372
