year_month,Employment & Labor
2020-01,0.09523809523809523
2020-02,0.016129032258064516
2020-03,0.009569377990430622
2020-04,0.014705882352941176
2020-05,0.03773584905660377
2020-06,0.046875
2020-07,0.11320754716981132
2020-08,0.16393442622950818
2020-09,0.14414414414414414
2020-10,0.05063291139240506
2020-11,0.046511627906976744
2020-12,0.04411764705882353
2021-01,0.08181818181818182
2021-02,0.09259259259259259
2021-03,0.05660377358490566
2021-04,0.0
2021-05,0.07006369426751592
2021-06,0.040268456375838924
2021-07,0.04782608695652174
2021-08,0.041666666666666664
2021-09,0.03137254901960784
2021-10,0.021551724137931036
2021-11,0.032362459546925564
2021-12,0.08717948717948718
2022-01,0.0
2022-02,0.05045871559633028
2022-03,0.06179775280898876
2022-04,0.07692307692307693
2022-05,0.05925925925925926
2022-06,0.0364963503649635
2022-07,0.026119402985074626
2022-08,0.03903903903903904
2022-09,0.033846153846153845
2022-10,0.05128205128205128
2022-11,0.03508771929824561
2022-12,0.04263565891472868
2023-01,0.04727272727272727
2023-02,0.04
2023-03,0.040380047505938245
2023-04,0.05921052631578947
2023-05,0.038011695906432746
2023-06,0.07017543859649122
2023-07,0.10507246376811594
2023-08,0.053691275167785234
2023-09,0.050387596899224806
2023-10,0.048701298701298704
2023-11,0.021021021021021023
2023-12,0.04745762711864407
2024-01,0.04316546762589928
2024-02,0.026119402985074626
2024-03,0.0708955223880597
2024-04,0.045576407506702415
2024-05,0.041304347826086954
2024-06,0.0430622009569378
2024-07,0.07960199004975124
2024-08,0.09670781893004116
2024-09,0.04743833017077799
2024-10,0.061170212765957445
2024-11,0.024844720496894408
2024-12,0.021341463414634148
2025-01,0.06647398843930635
2025-02,0.039285714285714285
2025-03,0.01935483870967742
2025-04,0.02865329512893983
2025-05,0.04780876494023904
2025-06,0.053691275167785234
2025-07,0.013368983957219251
2025-08,0.027777777777777776
2025-09,0.03375527426160337
2025-10,0.054380664652567974
2025-11,0.046511627906976744
