year_month,Trade & Commerce
2020-01,0.31746031746031744
2020-02,0.016129032258064516
2020-03,0.0430622009569378
2020-04,0.058823529411764705
2020-05,0.11320754716981132
2020-06,0.078125
2020-07,0.03773584905660377
2020-08,0.03278688524590164
2020-09,0.036036036036036036
2020-10,0.12658227848101267
2020-11,0.046511627906976744
2020-12,0.16176470588235295
2021-01,0.05454545454545454
2021-02,0.05555555555555555
2021-03,0.03773584905660377
2021-04,0.08666666666666667
2021-05,0.025477707006369428
2021-06,0.03355704697986577
2021-07,0.021739130434782608
2021-08,0.029166666666666667
2021-09,0.058823529411764705
2021-10,0.04741379310344827
2021-11,0.045307443365695796
2021-12,0.07179487179487179
2022-01,0.08389261744966443
2022-02,0.05045871559633028
2022-03,0.06179775280898876
2022-04,0.125
2022-05,0.0962962962962963
2022-06,0.06569343065693431
2022-07,0.04477611940298507
2022-08,0.03903903903903904
2022-09,0.08
2022-10,0.0673076923076923
2022-11,0.05263157894736842
2022-12,0.04263565891472868
2023-01,0.06909090909090909
2023-02,0.055384615384615386
2023-03,0.035629453681710214
2023-04,0.046052631578947366
2023-05,0.05263157894736842
2023-06,0.06725146198830409
2023-07,0.05434782608695652
2023-08,0.04697986577181208
2023-09,0.031007751937984496
2023-10,0.045454545454545456
2023-11,0.07507507507507508
2023-12,0.06779661016949153
2024-01,0.09352517985611511
2024-02,0.05970149253731343
2024-03,0.08208955223880597
2024-04,0.058981233243967826
2024-05,0.06739130434782609
2024-06,0.045454545454545456
2024-07,0.06716417910447761
2024-08,0.047325102880658436
2024-09,0.07210626185958255
2024-10,0.06648936170212766
2024-11,0.22981366459627328
2024-12,0.13719512195121952
2025-01,0.30057803468208094
2025-02,0.5785714285714286
2025-03,0.6612903225806451
2025-04,0.8595988538681948
2025-05,0.7211155378486056
2025-06,0.4463087248322148
2025-07,0.6310160427807486
2025-08,0.1865079365079365
2025-09,0.14345991561181434
2025-10,0.31722054380664655
2025-11,0.1511627906976744
