date,inflation_factor,growth_factor,monetary_policy_factor,market_volatility_factor
1990-01-01,0.7571455612341405,-0.5057798809853797,8.23,22.29
1990-02-01,0.4406264410021787,0.9081631000016132,8.24,22.29
1990-03-01,0.3774804033259027,0.4981569957103637,8.28,22.29
1990-04-01,0.2100520048108567,-0.261981249171328,8.26,22.29
1990-05-01,0.224825464442091,0.304151938227859,8.18,22.29
1990-06-01,0.4418957665710987,0.3391573440977957,8.29,22.29
1990-07-01,0.2468430951101607,-0.1747344767991432,8.15,22.29
1990-08-01,0.6650027638653855,0.3492835780922076,8.13,22.29
1990-09-01,0.614017571884995,0.0076254021208255,8.2,22.29
1990-10-01,0.5722318696766759,-0.5842518859517476,8.11,22.29
1990-11-01,0.126621828287643,-1.271560849731168,7.81,22.29
1990-12-01,0.09361450532126,-0.7339529719835425,7.31,22.29
1991-01-01,0.380671096890639,-0.3255879168894804,6.91,26.62
1991-02-01,0.0506726384098543,-0.7388505859934114,6.25,21.04
1991-03-01,0.0212390537184692,-0.5754418806996231,6.12,20.86
1991-04-01,0.1813103346890887,0.2638618636735756,5.91,17.42
1991-05-01,0.4141394378138541,0.9414187900247616,5.78,17.77
1991-06-01,0.1688695482739532,0.8103066817548354,5.9,16.87
1991-07-01,0.1572378019127907,0.2800606256528226,5.82,18.64
1991-08-01,0.2330587340378942,-0.0011339613319227,5.66,15.47
1991-09-01,0.3439311491821639,0.7932959445843046,5.45,16.57
1991-10-01,0.1866632337796048,-0.0546452478724535,5.21,14.81
1991-11-01,0.2200449726951436,-0.1582362447837493,4.81,15.6
1991-12-01,0.2500120198086319,-0.4862523777080851,4.43,20.18
1992-01-01,0.1358847697152887,-0.5237500242776694,4.03,18.95
1992-02-01,0.2538395223346867,0.7059692556002473,4.06,18.2
1992-03-01,0.2420497794480614,0.8525660185312312,3.98,16.88
1992-04-01,0.2700598897520168,0.7590126747747616,3.73,16.48
1992-05-01,0.1330819563047702,0.3291094964783747,3.82,16.61
1992-06-01,0.1772067781592667,0.0511853448275756,3.76,14.43
1992-07-01,0.3300955539761618,0.9207064715544,3.25,13.34
1992-08-01,0.1338076947295485,-0.5591861589262614,3.3,13.83
1992-09-01,0.1634988759452227,0.3298543432663114,3.22,13.4
1992-10-01,0.3531461397203062,0.675158053367686,3.1,16.31
1992-11-01,0.1970659075979597,0.3792217126696195,3.09,16.67
1992-12-01,0.1748251748251883,0.1688920989630027,2.92,12.8
1993-01-01,0.2430815258040342,0.3839896069506743,3.02,13.36
1993-02-01,0.1507803270534236,0.4815953484483826,3.03,12.33
1993-03-01,0.2048766859644057,-0.0873531980976505,3.07,13.6
1993-04-01,0.266414708570184,0.2743160602107775,2.96,13.02
1993-05-01,0.3089614261659434,-0.3784401377208368,3.0,12.9
1993-06-01,0.0338810774182407,0.2255186465793812,3.04,13.67
1993-07-01,0.160110845970296,0.2696746193213917,3.06,11.51
1993-08-01,0.1706143654221614,-0.120574086248093,3.03,11.47
1993-09-01,0.1043424888752531,0.5305512966212289,3.09,11.48
1993-10-01,0.3142340353781581,0.733038914392603,2.99,11.83
1993-11-01,0.1894778662347329,0.4569413629881946,3.02,11.78
1993-12-01,0.0228773620876365,0.5922741331301662,2.96,13.83
1994-01-01,0.0335457900033642,0.2877812441767657,3.05,12.57
1994-02-01,0.2316931894396745,0.0582901651454692,3.25,10.65
1994-03-01,0.2752600523146187,1.0201575463503865,3.34,15.83
1994-04-01,0.1182947358842501,0.5913554477638527,3.56,23.87
1994-05-01,0.1454214951147614,0.4601048425961096,4.01,14.11
1994-06-01,0.2435298210585301,0.6751136558680537,4.25,12.72
1994-07-01,0.3153669724770491,0.1330389863973824,4.26,14.36
1994-08-01,0.2301409425249367,0.6704230927067067,4.47,11.17
1994-09-01,0.1110544166641691,0.3145485953005789,4.73,11.86
1994-10-01,0.1693949751154333,0.8045120691220431,4.76,15.44
1994-11-01,0.1900600110743555,0.6835881660052667,5.29,14.84
1994-12-01,0.0642289538149043,1.0218279603479097,5.45,16.69
1995-01-01,0.2030123449418441,0.1701982929575018,5.53,14.25
1995-02-01,0.1772759098425336,-0.1128050577073547,5.92,11.73
1995-03-01,0.1843975849864731,0.1661680221370254,5.98,11.65
1995-04-01,0.2627282173073952,-0.1726234131196657,6.05,13.5
1995-05-01,0.1539668675144767,0.4910926249013236,6.01,12.14
